"Priority","Modified","DateReported","Category","Contract_x0020_No","Supplier","Product_x0020_Impacted","Communication_x0020_Link","Description","Issue_x0020_Type","Sourcing_x0020_Option","Resources","Cross_x0020_Reference_x0020_Prod","HT_x0020_Recommendation"
"High","2022-02-17","2021-12-17","2021-12-17","1109","Siemens","Various SKUs","Siemens Letter","Siemens is having challenges regarding backorders, partial fulfilment of orders, and uncertainty of delivery timing after placing an order.","Raw Material Shortage, Labor Shortages, Demand Fluctuations","Purchase Allocation, Contracted Alternatives","Award Summary?","No cross posted","Please work with your local Siemens representative for any questions or issues."
"Medium","2022-03-23","2022-03-23","2022-03-23","?479","Kerma","Fetal Monitor Belts","No official letter communicated. Information received via supplier.","Kerma is experiencing backorders on fetal monitor belts due to high demands for narrow elastic to manufacture masks, cuff gowns, and other facial protection. All SKUs are currently under allocation. Alternative products are available. As Kerma receives raw material, they are produced and shipped.","Raw Material Shortage, Demand Fluctuations","Purchase Allocation, Contracted Alternatives","Award Summary?","No cross posted","Please work with your local Kerma representative for supply updates or product recommendations."
"Retire/Resolved","2022-03-07","2022-01-13","2022-01-13","199","Medline","Measuring Tapes                                                                        NON171335  Sub NON171330  January 2022                                         NON171336  Sub NON171335  February 2022                                                                                              Castile Soap MDS001005  February 2022","No official letter communicated. Information received via supplier.","Measuring tapes currently not backordered, but low stock                                                                                        Castile soap has low stock due to domestic production delays
","Not Selected, Not Specified - Global Supply Challenges","Member Communication","?Award Summary","No cross posted","?Please work with your local Medline representative for supply updates or substitute product recommendations. "
"High","2022-06-13","2022-06-13","2022-06-13","299","Bracco","?ISOVUE Contrast Products","?UPDATE 6/2/22Bracco Letter - May 18, 2022Bracco Letter - May 4, 2022?Bracco Letter - March 2022","UPDATE 5/20: 
Bracco Diagnostics communicated that one of the major U.S. suppliers of iodinated contrast media is currently experiencing a supply shortage. To ensure a steady supply, Bracco has implemented a new ordering process. Please review the letter for more details.   
UPDATE 5/13: 
HealthTrust has been notified that there is a significant shortage of GE Omnipaque radiographic contrast media due to production limitations at GE?s Shanghai facility, resulting from the COVID lock-downs. While GE is not a contracted supplier in this category, we know that some members still utilize GE. GE customers are currently on product allocations. Bracco is the HealthTrust contracted supplier for Radiographic Contrast Media. Bracco has confirmed that they will continue to supply HealthTrust committed customers with their historical usage of radiographic contrast media. Bracco is evaluating how they may support other HealthTrust members affected by the GE supply disruption. To ensure no disruption or delay in on-going orders, please refrain from ordering in large excess of current utilization in an effort to stock up against the risk of no future supply. Doing so may delay timing of processing the order as Bracco validates against past usage. We recommend conservation measures for radiographic contrast media be implemented by all members regardless of the manufacturer utilized. Conservation may enable suppliers to move inventory as necessary to handle critical patient needs.","Not Specified - Global Supply Challenges, Labor Shortages, Demand Fluctuations","Purchase Direct","UPDATE 6/13 JAMA resource uploaded??Award SummaryClinical Resource - JAMA Comparison Strategies for Contrast ConservationClinical Resource - ASHP Contrast Conservation GuidanceClinical Resource - HealthTrust Contrast Conservation GuidanceClinical Resource - PFS","Contrast Media - Radiographic","For any other questions regarding product availability, please contact customer service at (877) 272-2269, prompt #1, or reach out to Scott Condon at scott.condon@diag.bracco.com. UPDATE 5/13Bracco is evaluating how they may support other HealthTrust members affected by the GE supply disruption. To ensure no disruption or delay in on-going orders, please refrain from ordering in large excess of current utilization in an effort to stock up against the risk of no future supply. Doing so may delay timing of processing the order as Bracco validates against past usage. We recommend conservation measures for radiographic contrast media be implemented by all members regardless of the manufacturer utilized. Conservation may enable suppliers to move inventory as necessary to handle critical patient needs."
"Medium","2022-05-16","2022-05-13","2022-05-13","255025516480","Medline, Kerma, Cardinal","??Crutches/walkers , Rollators, Transport chairs, Bath Safety Items, Wheel chairs, Cushions and Wheel chair accessories.                                                                               All categories are experiencing low stock and will have rolling backorders and limited availability during this time.                                                                                Cardinal Crutches are on allocation. The affected products shown in Table 1 in the letter. Cardinal expects sporadic shipments in the coming weeks and anticipate a return to healthy inventory levels in Q2 of 2022. Items CA901AD, CA901TL, CA801ADB, CA801TLB, CA901YTH","Cardinal Letter","All sizes and lines of Crutches are experiencing increased demand along with significant shipping delays. Walkers, rollators, transport chairs, and wheelchairs will experience rolling backorders and limited availability.                                                      *UPDATE 5/13: Cardinal canes, walkers and wheelchairs are experiencing rolling backorders, with alternative healthy substitutes available in other sizes and types.
Estimated Recovery Dates:  Overall, Cardinal expects to be at full recovery May of 2022. They expect its crutches to be recovered 
around the June ? July timeframe due to the rise of COVID cases in Shanghai, and country-wide lockdowns. They also expect similar delays with wheelchairs.                         *Medline: All sizes and lines of crutches are experiencing increased demand along with significant shipping delays. Get well dates pushed out to mid-Q2 due to further supply chain disruption impacts. Cushions are experiencing shipping delays. Rush receiving incoming shipments & expediting inventory to branches. Canes are experiencing low stock now through mid-Q2 with recovery of most items in late Q2 due to manufacturing capacity constraints; rolling backorders 
and limited availability during this time frame.  Walkers and wheelchairs low stock through March and April, with rolling backorders and limited availability. 
             ","Shipping Delays, Demand Fluctuations, Raw Material Shortage","Purchase Allocation, Member Communication","Award Summary?","Durable Medical Equipment","?All suppliers are have supply issues regarding crutches. Please continue to work with your supplier for supply updates and recommendations."
"Critical","2022-06-02","2022-04-29","2022-04-29","228","Getinge","?Ocean, Express, Pneumostat, and Express Mini 500 codesUPDATE 4/29  Products being discontinuedProducts scheduled for discontinuation include all Ocean chest drain products, Oasis 3620-100 Dual chest drain, and Oasis 3650-100 Blood Recovery Unit (BRU) chest drain","UPDATED LETTER 4/29 Product Discontinuation ?Getinge Letter","UPDATE: 4/29: Discontinuing specific chest drain product codes:  products scheduled for discontinuation include all Ocean chest drain products, Oasis 3620-100 Dual chest drain, and Oasis 3650-100 Blood Recovery Unit (BRU) chest drain.

Getinge experiencing backorders due to a global supply shortage for raw materials and components used in the manufacturing of the Atrium chest drains. Getinge has stopped fulfilling Distributor orders in anticipation of 
taking orders directly from its mutual end-user customers. This action has been employed in an effort to more efficiently manage the allocation process and expedite shipping these orders. Getinge is requesting that facilities place orders for full case quantities only, directly with Getinge and not their distributor.","Raw Material Shortage, Component Disruption","Purchase Direct, Non-Contracted Alternatives, Clinical Alternatives","?Award SummaryClinical Resource - Clinical Practice Alternatives","Drains - Chest and Autotransfusion Bags","Getinge provided recommended substitutes in the event of a backorder situation. Some of the recommendations include off contract suppliers and HealthTrust is aware. It is recommended to utilize the most appropriate clinically approved product that is available to support the patient and HealthTrust will continue to work with Getinge and evaluate the situation."
"High","2022-05-16","2022-05-13","2022-05-13","48","Cardinal","?Several SKUs within Pre-wired Electrodes and Snap Monitoring Electrodes. Please refer to supplier letter.","?Cardinal Letter","UPDATE 3/23: Diagnostic tab electrodes were experiencing production delays; however, capacity expansion is underway. Estimated Recovery Date: Rolling backorder with expected recovery in May 2022. 
Pre-Wired Neonatal Electrodes is experiencing rolling backorders  due to extended raw material lead times and labor challenges. All impacted codes are being distributed through Cardinal's fair share allocation process. 
Estimated Recovery Date: Rolling backorder with recovery in 
September 2022. Please work with your Specialty sales representative for SKU level detail and substitute options.  3- and 5-pack may experience rolling backorders between shipments. All impacted codes are being distributed through our fair share allocation process.
Estimated Recovery Dates: Rolling shipments are deploying out to the network regularly. Full recovery is expected between April 2023 and December 2023, with recovery dependent on SKU. 
Please work with your Specialty sales representative for additional SKU level detail and substitute options.","Labor Shortages, Raw Material Shortage","Contracted Alternatives","Award Summary?","Electrodes ? Cables and Leads ? Cardiac","?Please work with your local Cardinal representative for supply updates and recommended alternatives. "
"Medium","2022-06-23","2021-10-26","2021-10-26","743","Ethicon","Open Multi-clip Applier codes MCS20, MSM20, MCM20, MCM30, MCL20                                                          10mm Laparoscopic Clip Applier ERCA code ER320     Single Ligaclips codes LT100, LT102, LT202, LT200, LT300, LT400                                                                 Proximate Plus MD Skin Staplers codes PMW35, PMR35                                                                                     Linear Cutter Cartridges codes TCR10 and TCR55","?Ethicon Letter ","An external supplier for Ethicon has notified them of an industry-wide shortage of certain raw materials that are critical components in the packaging process of some of its endomechanical medical devices and there is potential for delayed delivery for select products.","Packaging Issue, Raw Material Shortage","Member Communication","","?Endomechanical Products Disposable","?Please continue to place orders as usual and work with your local Ethicon representative on any questions specific to your account."
"Medium","2022-03-23","2022-03-23","2022-03-23","42211","3M","3M Clean-Trace ATP Surface Test, UXC100 and the 3M Clean-Trace Water Test, H2O","?3M Letter","3M is experiencing extended lead times on the 3M Clean-Trace ATP Surface Test, UXC100 and the 3M Clean-Trace Water Test, H2O, resulting from transportation shortages. 3M anticipates supply disruptions on these products through February 2022 - update requested","Shipping Delays","Contracted Alternatives","?Award SummaryClinical Resource - Disposable Endoscopes PFSClinical Resource - Proper Care and Handling?","Endoscope and Instrument Care - Cleaning Transport and Related Supplies","?Please work with your 3M account manager for supply updates and recommendations. "
"Retire/Resolved","2022-06-23","2021-11-19","2021-11-19","388","Medtronic","Specific products identified in letter.","Medtronic Letter","Specific products in the ENT category that may temporarily be in limited supply due to supply chain challenges.","Not Specified - Global Supply Challenges","Alternatives Recommended by Supplier","?Award SummaryClinical Resource - Balloon Sinuplasty PFS?Clinical Resource - ENT Implants PFS?Clinical Resource - Nasal Packing PFS?","ENT Equipment and Supplies","?Substitutions provided in letter. Please  continue working with your local Medtronic sales representative regarding any product supply issues experienced, as they may have additional options to support the necessary situation."
"Retire/Resolved","2022-05-04","2022-02-23","2022-02-23","1565","Cardinal","Kangaroo Enteral Feeding Pumps and Kangaroo? ePumps. The item codes with supply constraints are 775100, 775659, and 765100","No official letter communicated. Information received via supplier.","Cardinal is experiencing rolling backorders on limited number of Kangaroo? Enteral Feeding Sets.","Not Specified - Global Supply Challenges","Non-Contracted Alternatives","","Enteral Feeding Pumps, Sets, Feeding Tubes and Related Supplies","?Please work with your local Cardinal representative for supply updates."
"Retire/Resolved","2022-05-04","2022-03-23","2022-03-23","406266666667666923238?","Vygon, Cardinal, Neomed, Kentec Medical, Medela","Various SKUs","?Medela Letter","Cardinal pediatric nasogastric feeding tubes have been disrupted due to raw material shortages.  Rolling backorder on impacted codes likely to occur through early 2022.                                                               Medela, due to continuing global supply chain constraints, is experiencing rolling backorder for sterile syringes that started the third week of August and may continue through September. Impacted codes provided in letter.","Raw Material Shortage, Not Specified - Global Supply Challenges","Contracted Alternatives, Purchase Allocation","?Award SummaryClinical Resource - Transitioning Across Devices","?Neonatal - Enteral Feeding Tubes and Accessories","?Please work with your chosen supplier for supply updates and product recommendations and any additional ENFit guidelines. "
"Retire/Resolved","2022-06-23","2021-10-26","2021-10-26","?52985","Advance Medical","New conversion products impacted.","?Advance Medical Letter ","Due to the ongoing container crisis, Advance Medical is holding off on new conversions of its product until at least January 2022.","Shipping Delays","Contracted Alternatives, Non-Contracted Alternatives","","Equipment Drapes -Surgical","?Contact Advance Medical as they will evaluate and determine if they can support based on supply at the time."
"Medium","2022-06-23","2021-12-10","2021-12-10","1416","O&M Halyard","47950 Qualitative Fit Test Kit                                                   99003 Saccharin Solutions for Qualitative Fit Testing 99009 Bittrex Solutions FOR Qualitative Fit Testing 99010 Hood Assemblies for Qualitative Fit Testing, Yellow                                                                                     99015 Hood Assemblies for Qualitative Fit Testing, Clear                                                                                        99018 Nebulizers for Qualitative Fit Testing          99175 Particulate Filter FLUIDSHIELD* Ported N95 Respirator, SO SOFT* Lining, Regular, Quantitative Fit Testing Only                                                                   99178 Particulate Filter FLUIDSHIELD* Ported N95 Respirator, Safety Seal, SO SOFT* Lining, Regular, Quantitative Fit Testing Only                                        99181 Particulate Filter FLUIDSHIELD* Ported N95 Respirator, SO SOFT Lining, Small, Quantitative Fit Testing Only                                                                         99184 Particulate Filter FLUIDSHIELD* Ported N95 Respirator, Safety Seal, SO SOFT* Lining, Small, Quantitative Fit Testing Only","O&M Halyard Letter","O&M Halyard is initiating an order management on a subset of N95 products effective December 6, 2021 due to an extended demand for face masks.","Not Selected","Not Selected","?Award SummaryClinical Resource - Fit Testing?","Facemasks, Respirators & Fit Test Kits","Please work with your local O&M Halyard representative for supply updates"
"Medium","2022-05-16","2022-05-13","2022-05-13","6901","3M","1860/1860S","No official letter communicated. Information received via supplier.","3M:  1860/1860s production is still somewhat constrained.  Vendor encourages customers to try and move to 1870+ and 1870+BULK which has stronger availability.","Not Specified - Global Supply Challenges","Alternatives Recommended by Supplier","Award Summary?","Facemasks, Respirators & Fit Test Kits","?Please work with your local 3M Representative for supply updates. "
"Medium","2022-04-06","2022-04-06","2022-04-06","894","Medline","Impregnated GauzeOil Emulsion Gauze CUR250 Series Petroleum Gauze CUR251 SeriesXeroform Gauze CUR253 SeriesPacking Strips NON255 and NON256 Series","No official letter communicated. Information received via supplier.","Low stock through portions of Q2 2022 due to market disruption across the four types: oil emulsion gauze, petroleum gauze, xeroform gauze, and packing strips","Not Specified - Global Supply Challenges","Member Communication","Award Summary?","Wound Care - General and Surgical Sponges","?Please work with your local Medline representative for supply updates and recommended alternatives. "
"High","2022-05-16","2022-05-13","2022-05-13","214","Bard","?Various SKUs included in letter impacting silicone used in foley catheters and trays","BD/Bard Letter","BD is experiencing a global raw material shortage impacting the supply of silicone used in BD foley catheters and trays. 
UPDATE 5/13: SureStep platform continues to get healthier. Production is in good shape but will carry small backorder through mid-summer. Seventy five percent of our tray business is within SureStep. Legacy and advanced trays will continue to have backorder challenges through the summer along with urethral trays. 

Until supply is fully restored, BD will be prioritizing high volume/high need products and existing BD customers. BD?s mitigation plan also includes subbing from silicone foley catheters to equivalent latex foley catheters.","Raw Material Shortage","Non-Contracted Alternatives, Alternatives Recommended by Supplier","","Urology - General","?Please work with you local BD/Bard representative for supply updates and recommended product substitutions if necessary. "
"High","2022-05-16","2022-05-13","2022-05-13","214","Bard","SureStep? Foley Trays and  Advance Foley Trays       *SureStep Male External Catheter","BD/Bard Letter","On-going supply issue of BD urological drainage products, specifically Foley catheter trays

UPDATE 5/13: SureStep platform continues to get healthier. Production is in good shape but will carry small backorder through mid-summer. Seventy five percent of our tray business is within SureStep. Legacy and advanced trays will continue to have backorder challenges through the summer along with urethral trays. 

BD is experiencing a raw material shortage creating a back order on the SureStep MEC?s. BD expects rolling back orders. To stabilize the supply, BD is putting new evaluations and conversions of this product on hold for now. ","Raw Material Shortage","Non-Contracted Alternatives, Purchase Allocation","Award Summary?","Urology - General","Please work with you local BD/Bard representative for supply updates and recommended product substitutions if necessary."
"Low","2022-06-17","2022-06-17","2022-06-17","6367","Medline","??UPDATED 6/17  ??Various SKUs Nitrile VersaShield and substitute gloves are on allocationVinylStretch VinylCUR922* Series is going to experience rolling B/Os through June. TRG150* Series is the best sub to use where possible        Sterile On allocation, subs available, surgical/non-Medline sterile options as well. Expected to continue through Q2. Allocation will be increased based on availability. Critical items will be reviewed monthly and any new subs will be communicated accordingly","No official letter communicated. Information received via supplier.","Medline is placing all non-sterile exam gloves on allocation for distributors only effective 12/1/2021. No current Medline direct customers will be placed on allocation and can continue to order as needed. Medline is continuing to improve?its overall inventory health of these gloves and does not anticipate any major disruption; however, they are taking this proactive and temporary measure to ensure supply is stable for all customers. 
Additional Information:
? Distributor allocation will be set to 100% allocation for all material types based on average monthly usage from Aug-Oct 2021 
? If distributed end customers need additional product on top of what they are provided from their distributor, Medline will let them buy more product direct through Medline without limits
? Current customers may see an item listed as on allocation via Medline.com, but if they buy direct, they will not have any blocks on ordering product: 
- Customers may see the following message on Medline.com: ?Product on Allocation - Fulfillment subject to availability?                                 Despite the above message, direct customers will have no blocks to ordering these non-sterile exam glove items when checking out.","Demand Fluctuations, Product Discontinuation","Non-Contracted Alternatives, Purchase Direct, Purchase Allocation, Alternatives Recommended by Supplier","?Award SummaryClinical Resource - Glove ConservationClinical Resource - Glove by Role Recommendation?","Gloves - Exam","?Please work with your local Medline representative for supply updates and product substitutions if necessary. "
"High","2022-05-16","2022-05-13","2022-05-13","853","Cardinal","?Various SKUsUPDATE 5/13Protexis? Surgical Gloves Portfolio health is improving. The Latex Family has fully recovered and is off allocation. PI and Neoprene families improving but will remain on allocation. ","No official letter communicated. Information received via supplier.","Supply constraints are a result of a combination of factors including, increased lead times due to global transportation challenges and sterilization capacity. This continues to drive delays in receiving product into their U.S. distribution centers. Cardinal continues to work diligently to provide as much inventory as possible to meet anticipated customer demand and mitigate disruption. ","Shipping Delays, Demand Fluctuations","Member Communication, Purchase Allocation","?Award SummaryClinical Resource - Glove ConservationClinical Resource - Glove by Job Recommendation?","Gloves - Surgeon","Please work with your chosen supplier for supply updates and product substitutions if necessary."
"High","2022-06-23","2022-02-01","2022-02-01","552","Molnlycke","Various SKUs","Molnlycke Letter","M?lnlycke will keep Biogel gloves on allocation within the US market through Q2 2022.","Shipping Delays","Purchase Allocation","?Award SummaryClinical Resource - Glove ConservationClinical Resource - Glove by Role Recommendation?","Gloves - Surgeon","Please work with your chosen supplier for supply updates and product substitutions if necessary."
"High","2022-02-14","2022-02-01","2022-02-01","44256","Baxter","Repeater Pump Set, Sterile Water for Irrigation and Sterile Water for Injection product codes on protective allocation","Baxter Letter","Baxter has placed several Repeater Pump Set, Sterile Water for Irrigation and Sterile Water for Injection product codes on protective allocation. Please refer to the letter for product codes and more details.","Demand Fluctuations, Shipping Delays","Contracted Alternatives, Purchase Allocation","","Infusion Pumps, Sets, Solutions and Needleless Products","Please work with your local Baxter sales representative for any questions or issues."
"High","2022-03-23","2022-03-23","2022-03-23","44256","Baxter","Vial-Mate Adapter (product code 2B8071)                                                                                           Mini-Bag Plus codes","Baxter Letter","Baxter has placed an allocation on the Vial-Mate Adapter (product code 2B8071). Additionally, Baxter is lowering the current allocation levels of Mini-Bag Plus codes from 115% to 100%.","Raw Material Shortage, Demand Fluctuations","Contracted Alternatives, Purchase Allocation","Award SummaryClinical Resource - IV Set Conservation","Infusion Pumps, Sets, Solutions and Needleless Products","Please work with your local Baxter sales representative for any questions or issues."
"High","2022-02-14","2022-01-25","2022-01-25","44256","Baxter","Clinolipid Products                                                                                                          CLINOLIPID, 20% 100mL EADB9520                                                                                             CLINOLIPID, 20% 250mL EADB9521                                                                                       CLINOLIPID, 20% 500mL EADB9523                                          CLINOLIPID, 20% 1000mL EADB9524","Baxter Letter","Baxter has placed four Clinolipid product codes on protective allocation. Please refer to the  letter for product codes and more details.","Not Specified - Global Supply Challenges","Contracted Alternatives, Purchase Allocation","","Infusion Pumps, Sets, Solutions and Needleless Products","Please work with your local Baxter sales representative for any questions or issues."
"High","2022-05-16","2022-05-13","2022-05-13","44256","Baxter","Various items in Pharmacy portfolio","UPDATE 5/13 Baxter Letter dated 5/3UPDATE 4/29 ?Baxter Letter dated 4/12 ","UPDATE 5/13:
Baxter has updated the protective allocation on certain product in their pharmacy portfolio. A 100% allocation level has been implemented for existing customers based on historical ordering from May 2021 ? October 2021.  Please refer to the linked letter for more details.","Labor Shortages, Shipping Delays, Raw Material Shortage, Demand Fluctuations","Contracted Alternatives, Purchase Allocation","Award Summary?","Infusion Pumps, Sets, Solutions and Needleless Products","Please work with your local Baxter sales representative for any questions or issues."
"Retire/Resolved","2022-05-04","2022-01-18","2022-01-18","44256","Baxter","Various injectables - refer to letter","Baxter Letter","Baxter has provided information on its allocation and backorder supply in the letter","Demand Fluctuations","Contracted Alternatives, Purchase Allocation","Award Summary?","Infusion Pumps, Sets, Solutions and Needleless Products","?Please work with your local Baxter sales representative for any questions or issues. "
"High","2022-02-14","2021-12-30","2021-12-30","44256","Baxter","Pour Bottle SKUs                                                                           2F7112 Sterile Water for Irrigation, USP, 250 mL Plastic Pour Bottle                                                                       2F7113 Sterile Water for Irrigation, USP, 500 mL Plastic Pour Bottle                                                                       2F7114 Sterile Water for Irrigation, USP, 1000 mL, Plastic Pour Bottle                                                                       2F7122 0.9% Sodium Chloride Irrigation, USP, 250 mL Plastic Pour Bottle                                                                       2F7123 0.9% Sodium Chloride Irrigation, USP, 500 mL Plastic Pour Bottle                                                                         2F7124 0.9% Sodium Chloride Irrigation, USP, 1000 mL Plastic Pour Bottle                                                          2F7154 Lactated Ringer's Irrigation, 1000 mL Plastic Pour Bottle Container                                                                 2F7184 0.25% Acetic Acid Irrigation, USP, 1000 mL Plastic Pour Bottle                                                                               2F7144 TIS-U-SOL Solution (Pentalyte Irrigation), 1000 mL Plastic Pour Bottle","Baxter Letter","Baxter (#44256) has placed several of the pour bottle codes on protective allocation. The 100% allocation level is based on historical ordering (June 2021 ? November 2021) of each item group. Please refer to the attached customer letter for more details and product codes.","Demand Fluctuations","Contracted Alternatives, Purchase Allocation","","Infusion Pumps, Sets, Solutions and Needleless Products","Please work with your local Baxter sales representative for any questions or issues."
"High","2022-02-14","2021-12-03","2021-12-03","44256","Baxter","Small Volume Highly Concentrated Potassium Chloride Injection, USP  SKUs provided in the letter","Baxter Letter","Due to high demand, Baxter has placed Small Volume Highly Concentrated Potassium Chloride Injection, USP, on 100% protective allocation, effective immediately. The 100% allocation level is based on historical ordering (April-September 2021).","Demand Fluctuations","Contracted Alternatives, Purchase Allocation","","Infusion Pumps, Sets, Solutions and Needleless Products","Please work with your local Baxter sales representative for any questions or issues."
"High","2022-02-14","2021-12-03","2021-12-03","44256","Baxter","EVA Dual Chamber Bags","Baxter Letter","Due to unprecedented demand, Baxter is placing EVA Dual Chamber Bags on allocation effective immediately.","Labor Shortages, Shipping Delays","Contracted Alternatives, Purchase Allocation","","Infusion Pumps, Sets, Solutions and Needleless Products","Please work with your local Baxter sales representative for any questions or issues."
