"Priority","DateReported","Modified","Category","Contract_x0020_No","Product_x0020_Impacted","Communication_x0020_Link","Description","Issue_x0020_Type","Sourcing_x0020_Option","Resources","Cross_x0020_Reference_x0020_Prod"
"High","2022-02-01","2022-02-15","Gloves - Surgeon","<div class=""ExternalClass5DD45A8B046E4EDF92E857884377CF4B""><a href=""https&#58;//members.healthtrustpg.com/contracts/552"" title=""552"">552</a></div>","<div class=""ExternalClass28AF23DE96894E5B922129B458137058"">Various SKUs</div>","<div class=""ExternalClass6ADCE94D290D45498E7A537AADDC07D3""><a href=""https&#58;//portal.healthtrustpg.com/-/media/0D4AA2DBAEA546719B4C6CB1D056231F.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=202131235&amp;_hsenc=p2ANqtz-8e4PfX5p8WKWTuMOdKgYKpFTF9zE_0KzQ-3ZLm0MMJWHU-pC2ZdXDzqzrqgkdTX30XG1raWF0gFTIa4CFYT8nHtM7"" title=""Molnlycke Letter"">Molnlycke Letter</a></div>","M?lnlycke will keep Biogel gloves on allocation within the US market through Q2 2022.","Shipping Delays","Purchase Allocation","<div class=""ExternalClassA9C914EC9A06451582B34F2FD48FC4C5""><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(0, 0, 0);""><ul><li><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">?</span><span style=""color&#58;black;font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Award Summary</span></li><li><span style=""color&#58;black;""><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/6367-552-853Gloves-Recommendation-by-Job-Role_final_7.21.20_FP%20(5).pdf?csf=1&amp;web=1&amp;e=K1xvVZ"" title=""Clinical Resource - Glove Conservation""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Glove Conservation</span></a></span></li><li><span style=""color&#58;black;""><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/6367-552-853Gloves-Recommendation-by-Job-Role_final_7.21.20_FP%20(5).pdf?csf=1&amp;web=1&amp;e=6ABduC"" title=""Clinical Resource - Glove by Role Recommendation?""><span style=""font-family&#58;&quot;segoe ui&quot;;font-size&#58;9pt;"">Clinical Resource - Glove by Role Recommendation?</span></a></span></li></ul></div></div>","<div class=""ExternalClass127A8338F0AB4EE491BB8327E3ABC0D8""><a href=""https://members.healthtrustpg.com/contracts/552"" title=""Gloves - Surgeon"">Gloves - Surgeon</a></div>"
"High","2022-02-01","2022-02-14","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClass13A8DC89E1574F03A032EDFF599BB0D2""><a href=""https&#58;//members.healthtrustpg.com/contracts/44256"" title=""44256"">44256</a></div>","<div class=""ExternalClass9437533DCAC4464B925ED7DC17DF5955"">Repeater Pump Set, Sterile Water for Irrigation and Sterile Water for Injection product codes on protective allocation</div>","<div class=""ExternalClass0D2A871D1A064CF28C632C9B0553D59A""><a href=""https&#58;//portal.healthtrustpg.com/-/media/E1D617BBF470494F889F0FA40C32D804.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=202131235&amp;_hsenc=p2ANqtz-8o4HS6hZG3NC50FUk2maRxIkGOx3VjAzhgCiqGMtnbHXcfJgAAZkU8rf4OnVpHylaoAXxg5BKkA3SxZTxpe_YbP_y"" title=""Baxter Letter"">Baxter Letter</a></div>","Baxter has placed several Repeater Pump Set, Sterile Water for Irrigation and Sterile Water for Injection product codes on protective allocation. Please refer to the letter for product codes and more details.","Demand Fluctuations, Shipping Delays","Contracted Alternatives, Purchase Allocation","","<div class=""ExternalClassF7A75C3CCC714872ADA1CD76049A5ACB""><a href=""https://members.healthtrustpg.com/contracts/44256"" title=""Infusion Pumps, Sets, Solutions and Needleless Products"">Infusion Pumps, Sets, Solutions and Needleless Products</a></div>"
"High","2022-03-23","2022-03-23","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClass76C8FC0EAD034A6C83EFC6A77633BC74""><a href=""https&#58;//members.healthtrustpg.com/contracts/44256"" title=""44256"">44256</a></div>","<div class=""ExternalClassE048B2A69F6747E8A3E78F76D1BC1546"">Vial-Mate Adapter (product code 2B8071)                                                                                           Mini-Bag Plus codes</div>","<div class=""ExternalClass362328628B244D21AF5327A8DF405C41""><a href=""https&#58;//portal.healthtrustpg.com/-/media/D99674DEF642447288CEA767C6070FCF.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=201765833&amp;_hsenc=p2ANqtz-_Mbjn9AgNiki6NVAPtEeJJQBu-ocv-_Ii1ljd8nQiWaqXdgrh-IngHGwomEwBK19IABT-OEegpYVHj2v3e4_ZUmjt"" title=""Baxter Letter"">Baxter Letter</a></div>","Baxter has placed an allocation on the Vial-Mate Adapter (product code 2B8071). Additionally, Baxter is lowering the current allocation levels of Mini-Bag Plus codes from 115% to 100%.","Raw Material Shortage, Demand Fluctuations","Contracted Alternatives, Purchase Allocation","<div class=""ExternalClassEF1D1D372BD44031B458980EADBE98CD""><ul><li><a href=""https://members.healthtrustpg.com/contracts/44256"" title=""Award Summary"">Award Summary</a><br></li><li><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/44256.7678.1351.7678Conservation_IV_Sets.pdf?csf=1&amp;web=1&amp;e=OBKDFL"" title=""Clinical Resource - IV Set Conservation"">Clinical Resource - IV Set Conservation</a></li></ul></div>","<div class=""ExternalClass8C6F79970E3E4E8A81F476323BF4CD2A""><a href=""https://members.healthtrustpg.com/contracts/44256"" title=""Infusion Pumps, Sets, Solutions and Needleless Products"">Infusion Pumps, Sets, Solutions and Needleless Products</a></div>"
"High","2022-01-25","2022-02-14","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClassD50353C4D6304F56BFF3C78E01EC4709""><a href=""https&#58;//members.healthtrustpg.com/contracts/44256"" title=""44256"">44256</a></div>","<div class=""ExternalClass406DE05C9EEA47BE893ED75C1C04B5C9"">Clinolipid Products                                                                                                          CLINOLIPID, 20% 100mL EADB9520                                                                                             CLINOLIPID, 20% 250mL EADB9521                                                                                       CLINOLIPID, 20% 500mL EADB9523                                          CLINOLIPID, 20% 1000mL EADB9524</div>","<div class=""ExternalClass609166D6E8FC4B5BB4303002CEA16FAE""><a href=""https&#58;//portal.healthtrustpg.com/-/media/7910D27CD9854ECF9BF29DAF605D3AA9.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=200907160&amp;_hsenc=p2ANqtz-9xzfZC0g9H619eA0nvjcNyxUy3zUg8fIO8ZcVnE6mJQg0oyVpwioUY3Cy6tc4jVjI11N9MzzVFm8lORHryaUnKWZ7"" title=""Baxter Letter"">Baxter Letter</a></div>","Baxter has placed four Clinolipid product codes on protective allocation. Please refer to the  letter for product codes and more details.","Not Specified - Global Supply Challenges","Contracted Alternatives, Purchase Allocation","","<div class=""ExternalClassE7FFAEEB99504704B31437FD93E51C0D""><a href=""https://members.healthtrustpg.com/contracts/44256"" title=""Infusion Pumps, Sets, Solutions and Needleless Products"">Infusion Pumps, Sets, Solutions and Needleless Products</a></div>"
"High","2022-05-13","2022-05-16","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClass7A3C1F512F5C40B28FE295B1C6B7B169""><a href=""https&#58;//members.healthtrustpg.com/contracts/44256"" title=""44256"">44256</a></div>","<div class=""ExternalClassCF1E21D5D74E4B85B15762D939FB68FE"">Various items in Pharmacy portfolio</div>","<div class=""ExternalClassA61E82092170408B8B432D1789C80965""><ul><li><a href=""https&#58;//portal.healthtrustpg.com/-/media/25A00F4040B749458E35FD0EECB4CCD8.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=212147130&amp;_hsenc=p2ANqtz-868fSydgyIACJhq8DsMlZhh3uEGJ3YXxVMkdnYWiBvzaxFig7Ynb6Piabi3OxpXc6Qkc-w4tHN8_CdAS5YuZxjOQS"" title=""UPDATE&#58; 5/13&#58; Baxter Letter dated 5/3"">UPDATE&#58; 5/13&#58; Baxter Letter dated 5/3</a></li><li><a href=""https&#58;//portal.healthtrustpg.com/-/media/9FD5F366B2324C50BC3CBF34943AA31C.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=210710527&amp;_hsenc=p2ANqtz-_cJLyxus6AnxHDwEA1q6dLqIyFYv8-E-C8jyTnmZkVd0uTwFwaLB2XzYi_MIsLfi4VvI85UznHsTy18LYeSc9-bw-"" title=""UPDATE 4/29&#58; ?Baxter Letter dated 4/12"">UPDATE 4/29&#58; ?Baxter Letter dated 4/12</a>&#160;<br></li></ul></div>","UPDATE 5/13:
Baxter has updated the protective allocation on certain product in their pharmacy portfolio. A 100% allocation level has been implemented for existing customers based on historical ordering from May 2021 ? October 2021.  Please refer to the linked letter for more details.","Labor Shortages, Shipping Delays, Raw Material Shortage, Demand Fluctuations","Contracted Alternatives, Purchase Allocation","<div class=""ExternalClass59F4A2CAADC744CAB05C93D65D7D0A5B""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/44256"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass6109927E41804E85BE3A1E74D12ED499""><a href=""https://members.healthtrustpg.com/contracts/44256"" title=""Infusion Pumps, Sets, Solutions and Needleless Products"">Infusion Pumps, Sets, Solutions and Needleless Products</a></div>"
"Retire/Resolved","2022-01-18","2022-05-04","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClassCF212F242F534D35A4E603174134CED4""><a href=""https&#58;//members.healthtrustpg.com/contracts/44256"" title=""44256"">44256</a></div>","<div class=""ExternalClass932B212540494C0FB206E349C8C9E9C7""><font color=""#000000"">Various injectables - refer to letter</font></div>","<div class=""ExternalClass999204D6ECD648BC8B3727AD75A17646""><a href=""https&#58;//portal.healthtrustpg.com/-/media/D128A4791B2646C5A4F4CFB6C3C4DAF6.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=200796332&amp;_hsenc=p2ANqtz-93P-Auitjuly9EtQfVHOXY9Y1Wx4JfV7ST5kZcCsfDDGCflyUjP4SCvPXOazU5Igk9sdGNiQLmGNIMpqPw-spR_Aq"" title=""Baxter Letter"">Baxter Letter</a></div>","Baxter has provided information on its allocation and backorder supply in the letter","Demand Fluctuations","Contracted Alternatives, Purchase Allocation","<div class=""ExternalClass84A48A58438B49459E78DE0A1E8D2404""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/44256"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass71B4D14F1D5F4E46AC14BA38DA248D70""><a href=""https://members.healthtrustpg.com/contracts/44256"" title=""Infusion Pumps, Sets, Solutions and Needleless Products"">Infusion Pumps, Sets, Solutions and Needleless Products</a></div>"
"High","2021-12-30","2022-02-14","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClass61C9C781218545AF80C424AE594E0D77""><a href=""https&#58;//members.healthtrustpg.com/contracts/44256"" title=""44256"">44256</a></div>","<div class=""ExternalClass3A9FCD11355945D39EFDB2D9F00F0D3A"">Pour Bottle SKUs&#58;                                                                           2F7112 Sterile Water for Irrigation, USP, 250 mL Plastic Pour Bottle                                                                       2F7113 Sterile Water for Irrigation, USP, 500 mL Plastic Pour Bottle                                                                       2F7114 Sterile Water for Irrigation, USP, 1000 mL, Plastic Pour Bottle                                                                       2F7122 0.9% Sodium Chloride Irrigation, USP, 250 mL Plastic Pour Bottle                                                                       2F7123 0.9% Sodium Chloride Irrigation, USP, 500 mL Plastic Pour Bottle                                                                         2F7124 0.9% Sodium Chloride Irrigation, USP, 1000 mL Plastic Pour Bottle                                                          2F7154 Lactated Ringer's Irrigation, 1000 mL Plastic Pour Bottle Container                                                                 2F7184 0.25% Acetic Acid Irrigation, USP, 1000 mL Plastic Pour Bottle                                                                               2F7144 TIS-U-SOL Solution (Pentalyte Irrigation), 1000 mL Plastic Pour Bottle</div>","<div class=""ExternalClass99F581BC1C244AF58338B954F2346128""><a href=""https&#58;//portal.healthtrustpg.com/-/media/83F443485D1D4ABAA5B14E0891347DD5.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=199402946&amp;_hsenc=p2ANqtz-_hryFjeH_UAqGYT9zy3BKJH6MKWuYFDOE0qBxp_YWpfZi_6qncsQNA1gwJbm75wrGBRstBf5mwlmGifHtuFtRosQ3"" title=""Baxter Letter"">Baxter Letter</a></div>","Baxter (#44256) has placed several of the pour bottle codes on protective allocation. The 100% allocation level is based on historical ordering (June 2021 ? November 2021) of each item group. Please refer to the attached customer letter for more details and product codes.","Demand Fluctuations","Contracted Alternatives, Purchase Allocation","","<div class=""ExternalClass28F6E5B36DF04EF79C819B3C86C6D7F4""><a href=""https://members.healthtrustpg.com/contracts/44256"" title=""Infusion Pumps, Sets, Solutions and Needleless Products"">Infusion Pumps, Sets, Solutions and Needleless Products</a></div>"
"High","2021-12-03","2022-02-14","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClass54C51F75F18D4F16876986E34268476B""><a href=""https&#58;//members.healthtrustpg.com/contracts/44256"" title=""44256"">44256</a></div>","<div class=""ExternalClass85293618682B4030B08D378875D51838"">Small Volume Highly Concentrated Potassium Chloride Injection, USP  SKUs provided in the letter</div>","<div class=""ExternalClass8AA33ED03B96403EBDF77911C24CB76B""><a href=""https&#58;//portal.healthtrustpg.com/-/media/E6C405D8454048E79B94B223F6908699.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=190345457&amp;_hsenc=p2ANqtz--TNET5xHfWH1pBcpS3PAG4grot0qGKUkE32PnXjfDpDiBDgc6BPdYtbleOeva_EfdsUd3K_02CerOh2WPxi83BffQ"" title=""Baxter Letter"">Baxter Letter</a></div>","Due to high demand, Baxter has placed Small Volume Highly Concentrated Potassium Chloride Injection, USP, on 100% protective allocation, effective immediately. The 100% allocation level is based on historical ordering (April-September 2021).","Demand Fluctuations","Contracted Alternatives, Purchase Allocation","","<div class=""ExternalClass15975BCF10F54528BABFC5788A5E9FA6""><a href=""https://members.healthtrustpg.com/contracts/44256"" title=""Infusion Pumps, Sets, Solutions and Needleless Products"">Infusion Pumps, Sets, Solutions and Needleless Products</a></div>"
"High","2021-12-03","2022-02-14","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClassC2158730AB6D4024B9E73BFA9B668D14""><a href=""https&#58;//members.healthtrustpg.com/contracts/44256"" title=""44256"">44256</a></div>","<div class=""ExternalClass71AE94C5CDBB439DB3627A65A88A11B8"">EVA Dual Chamber Bags</div>","<div class=""ExternalClass1DFE28A8D1AB4FE9A7E76ACE55DB7FAD""><a href=""https&#58;//portal.healthtrustpg.com/-/media/9179BE46C33B46259AB23F7E9B4CD8B0.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=190345457&amp;_hsenc=p2ANqtz-8Z_XmkCHJozWOqQ5OkgI7agBfOokRrVI3GbF9gM8w7RAKHnQwjhtqGpO4uBFMDP8FygditPBwOyLkBJpXNlYWKRW5"" title=""Baxter Letter"">Baxter Letter</a></div>","Due to unprecedented demand, Baxter is placing EVA Dual Chamber Bags on allocation effective immediately.","Labor Shortages, Shipping Delays","Contracted Alternatives, Purchase Allocation","","<div class=""ExternalClass490BDE089E004118B674E721643084BB""><a href=""https://members.healthtrustpg.com/contracts/44256"" title=""Infusion Pumps, Sets, Solutions and Needleless Products"">Infusion Pumps, Sets, Solutions and Needleless Products</a></div>"
"High","2021-12-03","2022-02-14","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClassDADD29FD30CF455BA0327B3B71F93D5A""><a href=""https&#58;//members.healthtrustpg.com/contracts/44256"" title=""44256"">44256</a></div>","<div class=""ExternalClass796F43634EE44CCDAF4DC6AB8E35AE31"">Intralipid, IV Fat Emulsion</div>","<div class=""ExternalClassD3F5E9E9822C434E929D4ECF7C239D94""><a href=""https&#58;//portal.healthtrustpg.com/-/media/0B076AE6A4A84EA0919FD66E903470B0.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=184454287&amp;_hsenc=p2ANqtz-9y2byUdsU998olA8F1WeCuviGrNSSgehnniAzf1fMKgNEXpf4fyQGy0q-9Ou1JmKjtRSThOtAURDGqn3inf1G-Mj_"" title=""Baxter Letter"">Baxter Letter</a></div>","Effective immediately, Baxter has made adjustments to current allocation levels for INTRALIPID (20% &amp; 30% I.V. Fat Emulsion). INTRALIPID will be allocated at 50%, and are expected to remain on allocation into 2022. Please refer to the attached letter for more details.","Manufacturing Delays from Third Party Vendor","Contracted Alternatives, Purchase Allocation","","<div class=""ExternalClass83A89CBBF8B6483DB863E59DDD087230""><a href=""https://members.healthtrustpg.com/contracts/44256"" title=""Infusion Pumps, Sets, Solutions and Needleless Products"">Infusion Pumps, Sets, Solutions and Needleless Products</a></div>"
"Medium","2022-05-13","2022-05-16","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClass726A7F058B4144DE9BF3D5F80381F850""><a href=""https&#58;//members.healthtrustpg.com/contracts/44256"" title=""44256"">44256</a></div>","<div class=""ExternalClass01BB4C2CC546468589A0D0E2616A1F9D"">INFUVITE</div>","<div class=""ExternalClass30CD4941AAC64AE984954C670D67DD5F""><a href=""https&#58;//portal.healthtrustpg.com/-/media/00CF790FDDF841DC85F7B1DAE182AF68.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=212147130&amp;_hsenc=p2ANqtz-_k8rN6qL_Wkbuyu3kY8HwBPn-uPbalNwDY-EnTE03Jur5bKy4N4AMLp9RP-_H3Z2Zd8NuA1DM-wdMEPZD5T8TAjlZ"" title=""UPDATE 5/13&#58; Baxter May 3 Letter"">UPDATE 5/13&#58; Baxter May 3 Letter</a></div>","UPDATE 5/13: 
Baxter has increased the allocation of Pediatric INFUVITE (2A9008), effective immediately. ","Manufacturing Delays from Third Party Vendor","Contracted Alternatives, Purchase Allocation","<div class=""ExternalClass07F6AF231FA141CDBA6BE38396DE351B""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/44256"" title=""Award Summary"">Award Summary</a>?</li></ul></div></div>","<div class=""ExternalClass96AE2A0192E84B21B4C7A5A24A9D3835""><a href=""https://members.healthtrustpg.com/contracts/44256"" title=""Infusion Pumps, Sets, Solutions and Needleless Products"">Infusion Pumps, Sets, Solutions and Needleless Products</a></div>"
"High","2022-03-23","2022-03-23","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClassA3B2711D152145E0BB78C2B237F01701""><a href=""https&#58;//members.healthtrustpg.com/contracts/7678"" title=""7678"">7678</a></div>","<div class=""ExternalClassCF2B2A964F64438481614EA391F40F39""><span style=""color&#58;black;"">?</span>Various Product Codes<p>UPDATE&#58; See letter for updated allocation list</p></div>","<div class=""ExternalClass5423EC27141E41C08493EEAED706F546""><ul><li><a href=""https&#58;//portal.healthtrustpg.com/-/media/35550A4AF2DA4F039D7161C5884EB726.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=207456868&amp;_hsenc=p2ANqtz-_R5OTxzfwDDBOSixbzbu8z-_x2F2YrHlSFWg0R8w-x6reCL0ErB0UCgpaG8rvg5TlYjnj_uja7Dowb0LIIVtGAoss"" title=""BBraun Letter - March 7, 2022"">BBraun Letter - March 7, 2022</a></li><li><a href=""https&#58;//portal.healthtrustpg.com/-/media/2BAD8C7F5FA8462EB69795D7955270E2.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=202131235&amp;_hsenc=p2ANqtz-8cCE344YJmvsPOC2E4VctHDgidKP3uHxmGLRgpDvkwpYjUoEvYDKK47CtCmPTiyY6CKj28dfsAnr5q28rKACA1KD5"" title=""?BBraun Letter - January 25, 2022"">?BBraun Letter - January 25, 2022</a></li></ul></div>","B Braun (#7678) has implemented protective allocations for certain product codes. The allocations levels are effective for February orders and are based on July-December 2021 demand numbers. B Braun anticipates these allocations to be in place until the beginning of Q2 2022. 
UPDATE: Please see letter for more specific information on updated allocation list.","Labor Shortages, Demand Fluctuations, Raw Material Shortage","Contracted Alternatives, Purchase Allocation","<div class=""ExternalClassF64006F854ED47BFA7FCFB10CF00D4A3""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/7678"" title=""Award Summary?"">Award Summary?</a></li></ul></div></div>","<div class=""ExternalClassBCE3F95B92404E128D89E69C14930C1E""><a href=""https://members.healthtrustpg.com/contracts/7678"" title=""Infusion Pumps, Sets, Solutions and Needleless Products"">Infusion Pumps, Sets, Solutions and Needleless Products</a></div>"
"High","2021-12-10","2022-03-23","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClass5D0AE29048D947CCBA0B6623A81B41BB""><a href=""https&#58;//members.healthtrustpg.com/contracts/7678"" title=""7678"">7678</a></div>","<div class=""ExternalClassB7A0B949FA514E9CAB87BB3C1BF3D66F"">Filtered IV Sets, Filtered Pump sets, and Filtered Extension sets                                                                         Burette (Metriset) Set products</div>","<div class=""ExternalClass51C43CF78B5742D28ABBC9716EBC3C64""><a href=""https&#58;//portal.healthtrustpg.com/-/media/B2C39EBC185F432A867E8600B0B750E3.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=191873324&amp;_hsenc=p2ANqtz-9wsWm26GDlbDmTFyfzcm5B4-zc7zJoXyWWwWWmD7Ac-vFbyZXOQvTvrR1UcYK06gTdj2UY4bSCVC7MF5IyNzqJ8jE"" title=""BBraun Letter"">BBraun Letter</a></div>","Due to a significant increase in demand, B Braun has announced extended backorder on several IV systems related products. At this time, B.Braun does not have sufficient supply of alternative substitute products to match these codes. Please refer to the attached letters for more details.","Demand Fluctuations","Contracted Alternatives","<div class=""ExternalClass8D9BB2537F804D1582051227269105C3""><div><ul><li><span style=""color&#58;black;""><a href=""https://members.healthtrustpg.com/contracts/7678"" title=""?Award Summary""><span style=""color&#58;black;"">?</span>?Award Summary</a></span></li><li><a href=""/&#58;b&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/44256.7678.1351.7678Conservation_IV_Sets.pdf?csf=1&amp;web=1&amp;e=OBKDFL"" title=""Clinical Resource - Conservation of IV Sets?"">Clinical Resource - Conservation of IV Sets?</a></li></ul></div></div>","<div class=""ExternalClassEFB754A682FD4AB281A1ED6222E7245B""><a href=""https://members.healthtrustpg.com/contracts/7678"" title=""Infusion Pumps, Sets, Solutions and Needleless Products"">Infusion Pumps, Sets, Solutions and Needleless Products</a></div>"
"High","2021-10-26","2022-02-17","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClass98BEAC4B8508452C9D56F68CF02E390E"">7678</div>","<div class=""ExternalClass7A3DAD6D9AF74E83AD75256CC2DA2D14"">Product SKUs P5771, P5671, and P8721</div>","<div class=""ExternalClass2CC2C8F3B1CC4A1BB1670B8F57FD8C66"">BBraun Letter</div>","Braun is experiencing a temporary rolling backorder of several premixed Heparin products due to a raw material disruption.","Raw Material Shortage","Contracted Alternatives","","<div class=""ExternalClassF5B0813316E742B8BA60F49A9AACC198"">Infusion Pumps, Sets, Solutions and Needleless Products</div>"
"Medium","2022-03-23","2022-03-23","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClass815CA1EF47B0428FAF59456F9E4A4B91"">7679</div>","<div class=""ExternalClass92AD197F64C549EDBED35F156E8E657A"">0.9% Sodium Chloride Injection, USP, 5% Dextrose Injection, USP and empty containers</div>","<div class=""ExternalClass4B67E065C5834A4CB832B9BFEFBD7ADC""><span style=""color&#58;black;""><a href=""https&#58;//portal.healthtrustpg.com/-/media/28E468FB32F140E69D0F420E4FF53303.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=203159639&amp;_hsenc=p2ANqtz-88zYpyDI6fbdqN_F68sFYlnuqLFhDP15nVxoS1J12g7a1cnstgF0qmIexvshu9Ebffar0dUbRVR4RmLm7eULCjnSy"" title=""ICU Medical Letter"">ICU Medical Letter</a></span></div>","ICU Medical is continuing to experience a substantial increase in demand of a number IV solutions products.","Demand Fluctuations","Contracted Alternatives","<div class=""ExternalClass73C6BE2505F341C3AFD879A004E913EB""><div><ul><li><a href=""https://members.healthtrustpg.com/contracts/7679"" title=""Award Summary"">Award Summary</a></li><li><a href=""/&#58;w&#58;/r/sites/HTPS-healthtrustsupplychaindisruption/Shared%20Documents/Resources/7679.Saline%20Flush%20Supply%20Disruption.docx?d=w2ef5c7f3725f4afeafaa038c3ce3a1a1&amp;csf=1&amp;web=1&amp;e=2XeNTt"" title=""Clinical Resource - Saline Flush Clinical Alternative?"">Clinical Resource - Saline Flush Clinical Alternative?</a></li></ul></div></div>","<div class=""ExternalClass91BE5D0067EE4C12AE69473E23CF247C"">Infusion Pumps, Sets, Solutions and Needleless Products</div>"
"High","2022-01-07","2022-02-17","Infusion Pumps Sets Solutions and Needleless Products","<div class=""ExternalClassAAD8FE64708D4C5DB5A281634C9AC263""><a href=""https&#58;//members.healthtrustpg.com/contracts/1351"" title=""1351"">1351</a></div>","<div class=""ExternalClass05F798CA91B6426EABCBC514C8CB9147"">Medex Micro Bore extension sets</div>","<div class=""ExternalClass5E2E264E88EC4A95BE35FE7C7606EBDB""><a href=""https&#58;//portal.healthtrustpg.com/-/media/118386B813C04FAE9A4DF14163197570.ashx?utm_campaign=2018%20Response%20MedSurg&amp;utm_medium=email&amp;_hsmi=199854448&amp;_hsenc=p2ANqtz-8pn2yQEUrkFMsthjon7hIeFpXwkcF6MQo5BDztDxfFiSjCuNzdj1BGjX4g0MSBFO9T27u3dP_IpvL799xoOgxt9vN"" title=""Smiths Medical Letter"">Smiths Medical Letter</a></div>","Smiths Medical ASD Inc. has placed Medex Micro Bore extension sets on allocation. Please refer to the  letter for more details. Smiths Medical shared that inventory recovery, including the return to safety stock, is expected in second half of 2022.","Demand Fluctuations","Contracted Alternatives, Purchase Allocation","","<div class=""ExternalClassE73319B953A44D008DAFCFD10D7887C9""><a href=""https://members.healthtrustpg.com/contracts/1351"" title=""Infusion Pumps, Sets, Solutions and Needleless Products"">Infusion Pumps, Sets, Solutions and Needleless Products</a></div>"
